,example,changed,quality of life,capacity and resources,political,security and defense,policy prescription and evaluation,fairness and equality,none,health and safety,"legality, constitutionality and jurisprudence",morality,economic,public opinion,cultural identity,external regulation and reputation,crime and punishment,uuid
0,./data/images/e78308e9-8c49-4217-9bb2-ef93a4b82b90.jpg,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,e78308e9-8c49-4217-9bb2-ef93a4b82b90
1,./data/images/6261799f-3a92-4805-bc56-3252dd645d89.jpg,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6261799f-3a92-4805-bc56-3252dd645d89
2,./data/images/80164efd-4678-4b00-92c6-eec6162e0cf1.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,80164efd-4678-4b00-92c6-eec6162e0cf1
3,./data/images/e336c7fb-895c-4d87-a384-2b1e479cdb9c.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,e336c7fb-895c-4d87-a384-2b1e479cdb9c
4,./data/images/0054ad1b-896e-42cf-a3fb-c9eedea17ec4.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0054ad1b-896e-42cf-a3fb-c9eedea17ec4
5,./data/images/4b948680-8f6b-4bc6-ae1b-393b1210e74c.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4b948680-8f6b-4bc6-ae1b-393b1210e74c
6,./data/images/c54b80a4-090f-4810-8bc7-f8d330cb19f7.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,c54b80a4-090f-4810-8bc7-f8d330cb19f7
7,./data/images/4530f774-1f6b-4ee2-90f2-9e9c5c014c3f.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4530f774-1f6b-4ee2-90f2-9e9c5c014c3f
8,./data/images/4de619ca-396d-4c0b-a033-7cfbe55b7b9c.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4de619ca-396d-4c0b-a033-7cfbe55b7b9c
9,./data/images/23f42948-c315-4830-a650-4bb5248dc7b0.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,23f42948-c315-4830-a650-4bb5248dc7b0
10,./data/images/af98b1f5-18f8-48ba-9adf-774a72e3057e.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,af98b1f5-18f8-48ba-9adf-774a72e3057e
11,./data/images/156506c2-5e1c-4dc6-bcd5-be76061aef6a.jpg,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,156506c2-5e1c-4dc6-bcd5-be76061aef6a
12,./data/images/defb7bf7-71bd-48b2-958d-6a16e85b7141.jpg,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,defb7bf7-71bd-48b2-958d-6a16e85b7141
13,./data/images/21a1b3fa-638e-451b-9ecb-52bf192ff30a.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,21a1b3fa-638e-451b-9ecb-52bf192ff30a
14,./data/images/8ddfa0c8-57fa-4a95-b9be-bb16b4b7a86a.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8ddfa0c8-57fa-4a95-b9be-bb16b4b7a86a
15,./data/images/1b786d8d-2c56-4971-906c-44902a537a2a.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1b786d8d-2c56-4971-906c-44902a537a2a
16,./data/images/83094c92-4350-45e0-b371-03192f914e92.jpg,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,83094c92-4350-45e0-b371-03192f914e92
17,./data/images/204279ec-377f-49cf-89c0-47df1ddfbd00.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,204279ec-377f-49cf-89c0-47df1ddfbd00
18,./data/images/1617998c-60c6-4ea3-8618-a15660890e73.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1617998c-60c6-4ea3-8618-a15660890e73
19,./data/images/a0423929-2d52-4a74-bf6b-caf874dbe39d.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,a0423929-2d52-4a74-bf6b-caf874dbe39d
